MAX_ERROR,Reads_with_UMI,UMI_%,Gain
0,11399,48.30,11399
1,11800,50.00,401
2,11998,50.84,198
3,12109,51.31,111
4,12216,51.76,107
5,12280,52.04,64
6,12345,52.31,65
7,12387,52.49,42
8,12411,52.59,24
