MAX_ERROR,Reads_with_UMI,UMI_%,Gain
0,21573,53.81,21573
1,22430,55.95,857
2,22858,57.02,428
3,23145,57.74,287
4,23365,58.28,220
5,23486,58.59,121
6,23611,58.90,125
7,23673,59.05,62
8,23726,59.18,53
