MAX_ERROR,Reads_with_UMI,UMI_%,Gain
0,6143,37.59,6143
1,6488,39.71,345
2,6711,41.07,223
3,6871,42.05,160
4,6973,42.67,102
5,7048,43.13,75
6,7096,43.43,48
7,7128,43.62,32
8,7179,43.94,51
