MAX_ERROR,Reads_with_UMI,UMI_%,Gain
0,6249,63.67,6249
1,6440,65.61,191
2,6530,66.53,90
3,6599,67.23,69
4,6646,67.71,47
5,6679,68.05,33
6,6698,68.24,19
7,6710,68.36,12
8,6718,68.45,8
