MAX_ERROR,Reads_with_UMI,UMI_%,Gain
0,7983,50.02,7983
1,8287,51.92,304
2,8456,52.98,169
3,8536,53.48,80
4,8614,53.97,78
5,8665,54.29,51
6,8709,54.57,44
7,8743,54.78,34
8,8757,54.87,14
