Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,69596,64859,93.19,16676,8452,1833,1613,1420,1285,1188,1104,1036,982,927,883,835,801,768,733,696,669,495,397,328,108,188
Barcode02,1894,1681,88.75,395,371,50,45,42,40,37,35,32,29,29,28,27,26,24,22,20,17,10,9,9,0,100
Barcode03,2823,1456,51.58,1266,1101,10,7,7,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Barcode04,16796,15773,93.91,3895,2897,430,381,348,319,305,289,275,270,253,247,233,225,214,205,194,188,140,110,88,3,113
Barcode05,3604,1283,35.60,716,655,51,37,29,23,16,11,9,7,5,4,4,4,2,2,2,1,0,0,0,0,29
Barcode06,47421,45070,95.04,2267,1702,672,655,648,639,631,623,619,613,608,605,605,605,602,597,593,590,573,543,511,29,173
Barcode07,6458,5859,90.72,631,550,186,181,175,170,163,156,153,152,150,148,144,138,134,133,132,128,81,35,14,0,77
Barcode08,51540,48735,94.56,1911,1387,877,874,869,865,862,859,855,851,850,849,846,841,839,833,829,827,789,718,562,8,141
Barcode09,6276,5760,91.78,583,510,252,230,205,193,183,177,167,163,153,149,145,141,135,129,126,121,58,17,2,0,56
