Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,167861,149282,88.93,31822,13964,3295,2895,2592,2355,2168,1986,1847,1706,1612,1534,1473,1402,1337,1283,1230,1201,907,747,627,371,378
Barcode02,15843,13879,87.60,3523,2611,175,152,141,136,129,119,111,105,103,98,94,90,87,86,85,79,63,56,47,26,716
Barcode03,47899,35191,73.47,24397,11557,1417,1031,779,624,487,384,316,257,209,166,143,125,112,102,91,80,29,18,10,1,106
Barcode04,103051,91758,89.04,16195,8350,1378,1196,1053,937,865,805,758,716,677,647,624,604,582,563,544,537,421,361,323,208,541
Barcode05,54108,36947,68.28,17863,9190,1232,986,819,680,577,500,439,392,358,332,309,283,254,241,221,204,132,98,79,24,230
Barcode06,309604,281026,90.77,10942,5537,1145,1051,980,934,889,861,837,812,799,788,774,761,748,742,731,725,679,658,644,602,984
Barcode07,53830,47746,88.70,5837,3808,555,493,453,418,408,384,362,341,335,320,310,303,293,283,275,269,222,209,196,153,499
Barcode08,350292,316344,90.31,9487,4543,1154,1087,1052,1021,997,978,968,953,939,932,931,926,917,914,911,907,885,879,874,847,876
Barcode09,44422,39746,89.47,1477,1033,493,484,477,473,468,461,455,443,430,423,414,406,394,385,378,372,297,242,210,161,318
