Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,163584,145997,89.25,31181,13733,3241,2860,2556,2302,2117,1953,1805,1683,1583,1511,1449,1374,1315,1269,1220,1185,893,729,618,370,372
Barcode02,14738,12977,88.05,3124,2349,166,145,134,126,113,107,100,98,96,92,88,83,83,82,79,76,62,55,45,24,697
Barcode03,39016,27908,71.53,19640,9579,1062,724,548,400,301,236,193,158,126,101,90,85,77,72,64,56,28,16,8,1,104
Barcode04,99565,89022,89.41,15732,8154,1346,1161,1027,921,843,791,743,692,661,637,614,593,574,557,539,529,417,358,318,203,527
Barcode05,43686,28436,65.09,13311,7299,879,695,571,480,411,373,332,303,287,268,242,227,216,199,185,178,113,91,66,19,222
Barcode06,298861,272457,91.17,10483,5388,1116,1021,954,911,870,848,825,802,791,783,767,751,738,733,727,718,675,656,638,601,954
Barcode07,50359,44919,89.20,4929,3303,503,449,420,392,382,368,342,322,316,304,297,291,282,271,265,259,218,204,194,152,479
Barcode08,338162,306627,90.67,9016,4368,1131,1070,1033,1006,986,974,960,947,932,930,926,921,916,912,906,904,882,878,873,845,850
Barcode09,42824,38494,89.89,1398,978,490,483,475,471,464,458,449,436,427,419,409,398,389,381,375,369,289,238,206,156,309
