Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,120023,109219,91.00,24757,11365,2639,2309,2049,1823,1691,1575,1481,1400,1314,1250,1199,1147,1097,1054,1018,979,736,580,491,285,279
Barcode02,7356,6605,89.79,1322,1114,94,89,83,79,76,73,71,70,68,65,60,58,56,55,55,53,43,37,29,12,399
Barcode03,12522,7617,60.83,5965,3916,116,90,66,46,40,34,32,29,29,29,27,22,20,15,12,9,6,1,1,0,63
Barcode04,56627,51949,91.74,10008,5862,876,781,709,653,614,566,532,511,497,478,465,447,433,418,402,392,319,262,230,140,302
Barcode05,14426,6819,47.27,3005,2322,191,166,149,135,125,112,103,98,90,84,79,73,68,63,58,56,34,17,12,0,89
Barcode06,166865,155998,93.49,5918,3511,848,799,772,754,741,722,712,700,692,685,679,675,671,666,663,660,637,617,607,577,578
Barcode07,24801,22548,90.92,1742,1367,299,285,273,255,245,237,229,222,214,207,203,203,201,197,194,191,178,164,155,103,255
Barcode08,187199,173770,92.83,4855,2667,946,933,921,910,905,902,898,888,886,885,884,883,881,879,878,877,867,857,848,803,487
Barcode09,23666,21767,91.98,915,701,454,439,426,400,385,371,362,351,339,325,314,300,289,281,270,258,200,181,165,72,179
