Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,41310,38779,93.87,11226,6428,1270,1107,977,889,814,765,722,681,644,603,570,547,526,502,484,456,328,235,170,2,117
Barcode02,545,476,87.34,152,148,24,19,16,11,9,9,7,7,6,6,6,6,5,5,4,3,2,0,0,0,40
Barcode03,835,367,43.95,345,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Barcode04,5444,5119,94.03,1654,1421,226,196,177,158,147,139,130,122,112,101,92,79,73,64,55,49,13,2,0,0,42
Barcode05,1083,291,26.87,213,204,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Barcode06,15085,14403,95.48,1212,1042,597,589,585,578,568,561,556,545,527,512,499,475,463,440,410,389,87,5,1,0,63
Barcode07,1975,1785,90.38,330,307,130,117,101,90,78,68,55,40,30,23,16,14,11,8,6,6,0,0,0,0,28
Barcode08,15993,15125,94.57,1179,1030,821,807,796,778,760,740,700,662,621,569,522,470,409,357,311,258,26,5,1,0,52
Barcode09,1886,1724,91.41,400,380,121,102,85,71,48,35,28,19,12,8,6,4,3,1,0,0,0,0,0,0,19
