Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,137012,123903,90.43,27288,12311,2875,2545,2270,2022,1834,1719,1580,1501,1423,1357,1292,1235,1188,1143,1112,1068,810,639,544,317,305
Barcode02,9878,8797,89.06,1785,1458,111,107,98,91,86,80,78,75,75,74,74,72,71,67,65,64,50,43,39,18,524
Barcode03,18406,11681,63.46,8782,5250,242,169,120,85,76,63,50,42,40,35,31,29,28,27,25,23,9,5,2,0,77
Barcode04,73811,67176,91.01,12351,6858,1053,915,830,758,712,673,641,596,569,548,529,508,490,481,473,449,360,316,266,156,393
Barcode05,20941,10876,51.94,4788,3374,292,239,212,191,177,159,143,135,126,121,109,105,101,96,91,88,55,34,21,5,143
Barcode06,219687,203727,92.74,7614,4229,938,869,830,806,790,769,751,736,727,719,707,703,694,690,686,683,655,635,621,586,724
Barcode07,33674,30444,90.41,2474,1843,355,331,310,295,280,272,265,251,241,237,232,227,220,218,216,212,195,180,169,129,351
Barcode08,247508,228046,92.14,6319,3296,1008,975,953,939,927,918,909,905,901,898,895,894,889,887,885,883,874,867,858,820,646
Barcode09,31171,28482,91.37,1066,789,473,468,457,444,434,421,401,391,383,374,359,352,343,333,325,312,235,200,185,109,235
