Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,97378,89236,91.64,21289,10127,2273,2003,1763,1593,1475,1369,1285,1213,1149,1082,1041,996,963,937,899,863,624,506,424,237,250
Barcode02,4417,3972,89.93,810,718,79,73,67,64,59,56,56,54,50,48,47,42,42,41,39,39,28,22,15,9,237
Barcode03,6967,3972,57.01,3280,2464,47,35,28,24,21,18,16,11,8,8,8,8,8,6,5,4,1,0,0,0,34
Barcode04,35897,33240,92.60,6974,4510,662,593,546,500,479,450,428,407,385,371,352,339,329,320,313,303,241,190,166,103,221
Barcode05,8367,3496,41.78,1629,1377,119,103,91,79,71,62,57,51,48,47,41,37,30,30,26,24,8,4,2,0,59
Barcode06,103649,97679,94.24,3998,2605,747,724,708,691,682,674,666,660,654,650,648,647,643,642,639,635,610,594,585,522,358
Barcode07,14778,13501,91.36,1121,923,238,220,213,206,198,198,192,191,186,181,180,176,172,168,167,167,152,136,124,21,158
Barcode08,115294,107789,93.49,3287,2014,904,899,892,891,886,881,880,877,876,873,871,871,869,868,867,867,847,832,816,676,301
Barcode09,14402,13343,92.65,723,598,397,369,345,321,303,281,267,257,242,227,217,206,201,196,192,190,163,136,100,6,111
