Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,69596,64226,92.28,16583,8418,1817,1606,1412,1278,1187,1100,1032,973,925,879,830,797,761,729,695,666,491,393,327,101,188
Barcode02,1894,1686,89.02,397,373,49,45,42,40,37,35,32,30,29,28,27,26,24,22,20,18,11,9,9,0,100
Barcode03,2823,1485,52.60,1289,1119,11,7,7,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Barcode04,16796,15682,93.37,3874,2882,429,380,347,319,305,289,276,268,252,245,231,224,213,205,194,186,140,108,87,3,113
Barcode05,3604,1303,36.15,729,667,51,37,29,23,18,12,9,7,5,4,4,4,3,2,2,1,0,0,0,0,29
Barcode06,47421,44928,94.74,2260,1698,671,655,648,639,631,623,618,613,608,605,605,605,602,596,592,590,573,542,506,26,173
Barcode07,6458,5917,91.62,641,557,186,182,175,171,163,156,154,153,151,148,145,139,135,133,132,130,82,36,16,0,77
Barcode08,51540,48550,94.20,1903,1383,877,874,869,865,862,858,853,849,848,847,844,839,835,831,828,825,789,714,556,9,142
Barcode09,6276,5792,92.29,580,507,252,230,206,194,184,177,169,163,155,150,146,141,137,130,126,122,58,17,2,0,56
