Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,163584,145916,89.20,31164,13730,3237,2859,2560,2302,2116,1953,1805,1683,1581,1509,1449,1373,1312,1267,1218,1184,891,728,618,370,372
Barcode02,14738,12971,88.01,3124,2349,166,145,134,126,113,107,100,98,96,92,88,83,83,82,79,76,62,55,45,24,697
Barcode03,39016,27897,71.50,19634,9574,1062,722,548,400,301,236,192,158,126,101,90,85,77,72,64,56,28,16,8,1,104
Barcode04,99565,89049,89.44,15737,8153,1348,1162,1026,920,841,791,742,694,661,637,614,593,574,556,540,529,418,358,318,203,528
Barcode05,43686,28407,65.03,13299,7294,876,694,569,480,411,373,332,303,287,268,242,227,216,199,185,177,113,90,65,19,222
Barcode06,298861,272301,91.11,10464,5380,1116,1021,954,911,869,847,825,800,791,783,767,751,738,732,727,718,675,656,638,601,953
Barcode07,50359,44903,89.17,4926,3301,503,448,420,392,382,368,342,322,316,304,297,291,282,271,265,259,218,204,194,152,479
Barcode08,338162,306406,90.61,8996,4363,1128,1069,1032,1006,985,974,959,946,930,930,927,921,916,912,906,904,882,878,873,845,849
Barcode09,42824,38481,89.86,1397,978,490,483,475,471,464,458,449,436,427,419,408,398,389,380,375,369,289,238,206,156,309
