Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,157545,141148,89.59,30289,13415,3147,2778,2494,2248,2061,1901,1757,1633,1554,1477,1407,1346,1296,1246,1195,1157,880,701,601,354,363
Barcode02,13443,11876,88.34,2682,2058,141,132,121,112,107,102,97,93,89,86,82,79,78,78,74,72,61,52,44,21,663
Barcode03,31670,21952,69.31,15769,8081,720,493,359,261,205,161,129,107,93,85,77,69,60,54,48,43,22,12,7,0,99
Barcode04,94236,84610,89.79,15022,7894,1283,1104,990,879,811,758,709,672,640,619,596,576,557,543,528,514,399,349,310,190,502
Barcode05,35600,21928,61.60,10014,5879,619,500,435,357,309,293,272,256,238,218,199,191,174,165,156,147,96,75,52,16,205
Barcode06,282510,258482,91.49,9805,5106,1070,984,929,881,847,821,808,786,779,768,748,739,729,723,715,706,670,651,636,600,914
Barcode07,46047,41252,89.59,4060,2788,448,411,388,365,350,332,317,303,294,287,279,270,263,256,246,237,216,199,188,147,451
Barcode08,319762,290932,90.98,8339,4114,1092,1040,1011,988,973,958,940,931,930,924,920,915,907,903,901,900,880,874,871,838,807
Barcode09,40392,36462,90.27,1313,928,485,481,470,467,458,453,444,429,420,408,400,389,382,374,367,363,280,228,201,149,296
