Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,157545,142829,90.66,30509,13477,3163,2794,2508,2263,2085,1925,1769,1644,1562,1489,1413,1353,1300,1253,1205,1169,885,711,604,359,365
Barcode02,13443,11795,87.74,2665,2043,141,131,120,112,107,101,96,92,88,85,81,79,78,78,74,72,61,52,44,20,663
Barcode03,31670,21491,67.86,15508,7957,722,506,388,303,237,190,154,123,101,86,79,74,67,62,56,51,23,12,6,0,100
Barcode04,94236,85365,90.59,15157,7938,1286,1112,995,886,825,766,715,680,646,624,605,579,565,550,534,522,401,349,311,191,510
Barcode05,35600,21355,59.99,9772,5736,602,493,428,352,305,288,269,252,235,212,193,184,171,162,152,144,93,75,50,15,203
Barcode06,282510,260060,92.05,9891,5146,1084,988,932,884,852,826,809,789,782,772,748,740,732,725,717,708,672,651,637,600,918
Barcode07,46047,40623,88.22,3976,2739,443,406,384,360,347,328,315,300,293,282,274,269,262,256,244,235,213,197,185,146,451
Barcode08,319762,292934,91.61,8430,4149,1103,1048,1014,991,978,961,951,937,934,928,924,918,909,905,904,901,882,874,871,840,812
Barcode09,40392,36185,89.58,1303,924,485,481,470,467,457,452,444,427,418,406,397,387,379,370,367,361,280,228,200,145,296
