Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,157545,141154,89.60,30289,13395,3153,2785,2492,2251,2062,1909,1761,1634,1553,1479,1407,1347,1296,1245,1196,1156,882,702,602,353,363
Barcode02,13443,11887,88.43,2684,2060,141,132,121,112,107,102,97,93,89,86,82,79,78,78,74,72,61,52,44,21,664
Barcode03,31670,21979,69.40,15781,8101,740,520,400,313,244,198,160,130,105,86,80,75,68,65,59,53,24,13,6,0,100
Barcode04,94236,84648,89.83,15033,7898,1279,1105,988,881,811,761,709,672,640,619,596,576,556,543,529,515,399,349,310,190,501
Barcode05,35600,21966,61.70,10026,5888,620,501,436,358,309,293,271,256,238,218,199,191,174,166,157,147,96,75,52,16,205
Barcode06,282510,258799,91.61,9837,5121,1072,985,930,883,848,821,808,787,779,768,748,740,729,723,715,706,670,651,636,600,916
Barcode07,46047,41291,89.67,4069,2794,449,411,388,365,350,332,318,303,294,287,279,271,264,256,247,237,216,199,188,147,451
Barcode08,319762,291303,91.10,8363,4120,1097,1042,1011,988,975,958,943,931,930,924,921,915,908,903,900,899,880,874,871,838,808
Barcode09,40392,36496,90.35,1316,929,485,481,470,467,458,453,444,429,421,409,400,389,382,375,367,363,280,228,201,149,296
