Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,137012,123918,90.44,27288,12302,2877,2544,2269,2023,1836,1721,1582,1499,1424,1358,1293,1236,1188,1141,1113,1069,810,639,543,317,305
Barcode02,9878,8803,89.12,1786,1459,111,107,98,91,86,80,78,75,75,74,74,72,71,67,65,64,50,43,39,18,524
Barcode03,18406,11695,63.54,8791,5256,243,169,120,85,77,63,50,42,40,36,31,29,28,27,26,23,9,5,2,0,77
Barcode04,73811,67203,91.05,12355,6858,1053,914,830,759,712,673,641,598,569,548,528,507,490,481,473,450,360,317,266,156,392
Barcode05,20941,10890,52.00,4790,3375,292,239,212,192,178,159,144,135,126,121,109,105,101,96,91,88,56,34,21,5,143
Barcode06,219687,203922,92.82,7620,4231,938,870,831,806,790,769,751,736,728,719,707,703,694,690,686,683,655,635,621,587,726
Barcode07,33674,30463,90.46,2477,1845,355,331,310,296,280,272,265,251,242,237,233,227,220,218,216,212,195,180,169,129,351
Barcode08,247508,228264,92.22,6338,3303,1008,975,953,939,927,918,910,905,901,898,895,893,889,887,885,883,874,867,858,820,646
Barcode09,31171,28501,91.43,1067,789,473,468,457,445,434,421,401,391,383,374,359,352,343,333,325,313,235,200,185,109,235
