Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,167861,149323,88.96,31831,13966,3298,2898,2590,2355,2169,1986,1847,1706,1612,1535,1473,1403,1336,1284,1230,1203,907,747,627,372,378
Barcode02,15843,13882,87.62,3523,2611,175,152,141,136,129,119,111,105,103,98,94,90,87,86,85,79,63,56,47,26,716
Barcode03,47899,35212,73.51,24410,11518,1459,1076,808,625,505,404,318,267,209,173,150,127,110,96,91,86,32,19,14,2,107
Barcode04,103051,91785,89.07,16200,8352,1378,1197,1053,938,865,805,758,716,677,647,623,603,581,563,544,537,421,361,323,208,541
Barcode05,54108,36958,68.30,17867,9190,1233,986,820,680,577,500,439,392,358,332,309,283,254,241,221,204,132,98,79,24,230
Barcode06,309604,281086,90.79,10949,5538,1147,1053,980,934,889,861,837,813,800,789,774,761,748,742,731,725,679,658,644,603,985
Barcode07,53830,47758,88.72,5838,3808,555,493,454,418,408,384,362,341,335,320,310,303,293,283,275,269,222,209,196,153,499
Barcode08,350292,316456,90.34,9500,4549,1154,1086,1053,1021,997,978,968,955,939,932,931,926,918,914,911,907,884,879,874,847,876
Barcode09,44422,39761,89.51,1479,1035,493,484,477,473,468,461,455,443,430,423,414,406,394,385,378,373,297,242,210,161,318
