Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,167861,149158,88.86,31806,13970,3287,2903,2599,2356,2169,1985,1842,1706,1610,1531,1470,1396,1329,1279,1226,1198,907,745,626,370,378
Barcode02,15843,13808,87.16,3500,2598,175,152,141,136,128,119,110,105,103,98,93,90,87,86,84,78,63,54,47,26,715
Barcode03,47899,34526,72.08,24048,11395,1399,1014,775,606,466,367,296,246,197,158,133,119,109,96,85,75,28,18,10,1,106
Barcode04,103051,91640,88.93,16175,8343,1378,1194,1051,936,864,806,760,715,677,647,625,605,581,564,544,539,422,362,323,207,542
Barcode05,54108,36792,68.00,17815,9170,1226,979,812,676,574,501,435,393,359,331,306,281,254,241,220,204,131,98,78,23,228
Barcode06,309604,280337,90.55,10895,5527,1138,1051,980,933,888,859,835,812,799,788,774,760,746,740,731,725,680,658,644,602,982
Barcode07,53830,47635,88.49,5820,3799,551,491,453,417,408,384,361,341,335,319,310,302,293,281,275,268,222,209,196,153,499
Barcode08,350292,315827,90.16,9445,4531,1151,1084,1048,1020,995,977,968,955,936,932,931,926,917,912,911,907,885,879,874,847,874
Barcode09,44422,39656,89.27,1470,1031,493,484,477,473,468,460,455,443,429,421,412,404,393,384,376,371,296,241,210,160,318
