Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,97378,90182,92.61,21427,10179,2293,2015,1773,1610,1484,1378,1293,1220,1152,1085,1045,1004,967,943,902,870,634,511,427,241,250
Barcode02,4417,3956,89.56,808,718,78,73,68,63,59,56,56,54,51,48,47,42,42,40,39,39,27,22,15,9,237
Barcode03,6967,3902,56.01,3225,2425,44,35,28,24,21,17,15,10,8,8,8,8,8,6,5,4,1,0,0,0,34
Barcode04,35897,33432,93.13,7008,4531,667,598,548,502,480,450,432,406,388,372,354,341,329,320,316,304,244,192,165,103,221
Barcode05,8367,3422,40.90,1591,1348,116,102,90,78,68,61,57,50,47,46,40,37,30,28,25,23,8,4,2,0,57
Barcode06,103649,98035,94.58,4018,2617,747,723,708,693,683,676,667,661,654,650,648,647,642,642,639,635,610,594,585,522,358
Barcode07,14778,13364,90.43,1106,910,235,220,213,205,198,197,192,190,185,181,180,174,172,169,167,167,152,136,122,21,158
Barcode08,115294,108240,93.88,3298,2018,905,899,892,891,886,881,880,877,876,873,871,871,869,869,867,867,849,834,818,682,302
Barcode09,14402,13271,92.15,725,600,396,368,344,320,301,280,266,257,242,227,216,205,201,196,193,190,163,135,99,6,111
