Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,157545,141136,89.58,30282,13393,3149,2785,2493,2250,2062,1909,1761,1634,1552,1479,1407,1347,1295,1245,1195,1156,882,702,602,353,363
Barcode02,13443,11886,88.42,2684,2060,141,132,121,112,107,102,97,93,89,86,82,79,78,78,74,72,61,52,44,21,664
Barcode03,31670,21974,69.38,15778,8079,723,492,364,262,206,162,130,108,94,86,77,69,60,55,48,43,23,12,7,0,99
Barcode04,94236,84634,89.81,15032,7897,1279,1104,988,881,811,761,709,672,640,619,596,576,556,543,529,515,399,349,310,190,501
Barcode05,35600,21959,61.68,10023,5886,620,501,436,358,309,293,271,256,238,218,199,191,174,166,157,147,96,75,52,16,205
Barcode06,282510,258767,91.60,9832,5119,1071,985,930,883,848,821,808,786,779,768,748,740,729,723,715,706,670,651,636,600,915
Barcode07,46047,41287,89.66,4068,2794,449,411,388,365,350,332,318,303,294,287,279,271,264,256,247,237,216,199,188,147,451
Barcode08,319762,291254,91.08,8361,4118,1096,1042,1011,988,974,958,943,931,930,924,921,915,908,903,900,899,880,874,871,838,808
Barcode09,40392,36490,90.34,1316,929,485,481,470,467,458,453,444,429,421,409,400,389,382,374,367,363,280,228,201,149,296
