Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,120023,110426,92.00,24929,11429,2670,2329,2053,1839,1700,1585,1490,1406,1318,1252,1203,1151,1104,1066,1025,984,735,583,498,289,279
Barcode02,7356,6569,89.30,1315,1109,93,89,83,79,76,72,71,70,68,66,60,58,56,55,55,53,43,37,28,12,399
Barcode03,12522,7465,59.62,5865,3866,115,84,61,46,39,33,32,29,29,29,26,21,18,13,11,9,6,1,1,0,63
Barcode04,56627,52286,92.33,10054,5895,883,784,708,656,616,574,537,513,502,481,467,449,434,419,404,394,319,266,230,141,304
Barcode05,14426,6651,46.10,2940,2276,191,161,144,132,123,111,103,97,88,81,76,72,66,61,56,54,32,16,11,0,89
Barcode06,166865,156611,93.85,5951,3523,853,801,775,756,741,721,714,700,691,685,679,676,672,667,663,660,638,617,607,577,579
Barcode07,24801,22260,89.75,1709,1341,298,283,271,252,242,235,227,220,213,206,203,201,199,196,193,190,175,163,154,101,255
Barcode08,187199,174558,93.25,4881,2682,949,936,922,912,905,903,898,888,887,885,884,883,881,879,878,877,867,858,851,805,488
Barcode09,23666,21627,91.38,912,702,454,438,422,399,383,369,360,351,339,324,313,298,287,279,269,259,198,179,163,71,179
