Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,137012,123773,90.34,27266,12296,2875,2544,2266,2021,1830,1716,1578,1499,1422,1355,1288,1232,1185,1141,1110,1066,809,639,544,317,305
Barcode02,9878,8782,88.90,1780,1455,110,107,98,91,86,80,77,75,75,74,74,72,71,67,65,64,50,43,39,18,524
Barcode03,18406,11539,62.69,8697,5201,239,170,115,84,75,60,50,41,40,35,30,29,28,27,25,22,9,5,2,0,77
Barcode04,73811,67113,90.93,12341,6853,1052,915,828,758,711,673,641,597,568,547,529,507,489,481,473,449,359,316,266,156,393
Barcode05,20941,10862,51.87,4783,3372,291,239,212,191,177,159,143,135,126,121,109,105,101,96,91,88,55,34,21,5,141
Barcode06,219687,203544,92.65,7606,4223,938,869,830,806,790,769,752,736,726,719,707,703,694,690,686,683,655,635,621,586,724
Barcode07,33674,30419,90.33,2473,1843,355,331,310,295,280,272,265,250,240,237,232,227,220,218,216,211,195,180,169,129,351
Barcode08,247508,227985,92.11,6316,3295,1008,975,954,938,927,918,909,905,901,898,895,894,889,887,886,883,874,867,857,820,646
Barcode09,31171,28450,91.27,1063,788,473,468,457,444,432,420,400,391,383,370,357,352,343,332,324,310,234,200,185,109,235
