Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,157545,141083,89.55,30273,13395,3149,2782,2492,2247,2062,1907,1760,1633,1549,1477,1406,1345,1294,1244,1194,1156,880,702,601,353,363
Barcode02,13443,11883,88.40,2684,2060,141,132,121,112,107,102,97,93,89,86,82,79,78,78,74,72,61,52,44,21,664
Barcode03,31670,21971,69.37,15776,8078,723,492,364,262,206,162,130,108,94,86,77,69,60,55,48,43,23,12,7,0,99
Barcode04,94236,84668,89.85,15033,7898,1283,1104,990,881,811,759,709,673,640,619,596,576,557,543,528,515,399,349,310,190,502
Barcode05,35600,21948,61.65,10020,5881,619,500,435,358,309,293,271,256,238,218,199,191,174,165,156,147,96,75,52,16,205
Barcode06,282510,258666,91.56,9818,5113,1071,985,930,882,847,821,808,786,779,768,748,739,729,723,715,706,670,651,636,600,915
Barcode07,46047,41281,89.65,4067,2793,449,411,388,365,350,332,318,303,294,287,279,270,264,256,247,237,216,199,188,147,451
Barcode08,319762,291120,91.04,8350,4118,1094,1041,1011,988,973,958,941,931,930,924,921,915,908,903,900,899,880,874,871,838,807
Barcode09,40392,36487,90.33,1315,929,485,481,470,467,458,453,444,429,421,409,400,389,382,374,367,363,280,228,201,149,296
