Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,148970,134042,89.98,29058,12931,3042,2675,2398,2162,1985,1830,1676,1576,1486,1422,1362,1296,1243,1203,1158,1116,853,674,584,340,337
Barcode02,11880,10553,88.83,2243,1779,129,118,107,103,97,95,85,84,80,78,77,77,76,73,71,69,56,46,42,18,616
Barcode03,24722,16441,66.50,12084,6593,450,302,216,155,122,96,86,75,64,58,47,41,39,38,37,33,16,9,3,0,88
Barcode04,86145,77882,90.41,13947,7485,1185,1024,927,823,767,717,679,651,620,592,571,550,539,524,505,494,389,333,293,179,458
Barcode05,27932,15978,57.20,7182,4568,424,345,289,258,236,223,213,191,169,160,150,145,136,126,120,117,79,57,36,9,180
Barcode06,257407,237128,92.12,8867,4741,1009,936,885,844,816,802,783,762,746,739,732,722,715,708,698,696,664,647,630,593,839
Barcode07,40630,36603,90.09,3253,2329,401,373,350,333,315,304,294,283,276,267,258,249,242,236,233,225,208,190,180,142,403
Barcode08,290777,266282,91.58,7494,3766,1054,1015,983,969,949,938,928,923,919,911,906,901,899,897,893,892,878,874,868,828,737
Barcode09,36696,33328,90.82,1208,865,481,477,468,461,451,442,431,418,404,395,384,372,367,362,355,344,260,212,193,136,267
