Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,167861,149214,88.89,31808,13963,3293,2897,2594,2353,2166,1987,1846,1706,1610,1534,1474,1400,1335,1281,1229,1200,907,745,627,371,378
Barcode02,15843,13874,87.57,3523,2611,175,152,141,136,129,119,111,105,103,98,94,90,87,86,85,79,63,56,47,26,716
Barcode03,47899,35178,73.44,24389,11554,1414,1030,778,622,488,385,315,257,209,166,142,125,112,102,91,80,29,18,10,1,106
Barcode04,103051,91802,89.08,16200,8353,1378,1197,1052,937,863,805,758,716,677,647,624,604,582,563,544,537,422,361,323,208,542
Barcode05,54108,36909,68.21,17850,9186,1229,984,818,678,575,501,438,392,357,332,309,283,254,241,221,204,131,98,79,23,230
Barcode06,309604,280901,90.73,10927,5532,1145,1052,980,934,888,860,836,812,799,788,774,761,748,741,731,725,679,658,644,602,984
Barcode07,53830,47735,88.68,5835,3806,555,493,453,418,408,384,362,341,335,320,310,303,293,283,275,269,222,209,196,153,499
Barcode08,350292,316146,90.25,9467,4539,1152,1085,1051,1021,996,978,968,952,937,932,931,927,917,914,911,907,885,879,874,847,875
Barcode09,44422,39741,89.46,1476,1033,493,484,477,473,468,461,455,443,430,423,414,405,394,385,378,372,297,242,210,160,318
