Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,120023,109226,91.00,24757,11375,2641,2308,2047,1824,1690,1574,1479,1398,1313,1250,1201,1148,1096,1053,1016,978,735,580,491,285,279
Barcode02,7356,6601,89.74,1321,1113,94,89,83,79,76,73,71,70,68,65,60,58,56,55,55,53,43,37,29,12,399
Barcode03,12522,7612,60.79,5961,3915,116,90,65,45,40,34,32,29,29,29,27,22,20,14,12,9,6,1,1,0,63
Barcode04,56627,51937,91.72,10005,5863,876,781,709,654,614,566,532,511,497,478,466,447,433,417,402,393,319,263,230,139,302
Barcode05,14426,6807,47.19,3003,2320,191,165,148,134,125,112,103,98,90,84,79,73,67,63,58,56,34,17,12,0,89
Barcode06,166865,155898,93.43,5913,3507,847,799,772,754,741,722,712,700,692,685,679,675,671,666,663,659,637,617,607,577,576
Barcode07,24801,22535,90.86,1740,1366,298,285,273,255,245,237,228,222,214,207,203,203,200,197,194,191,178,164,155,103,255
Barcode08,187199,173642,92.76,4847,2665,946,932,921,910,905,902,898,888,886,885,884,883,881,879,878,877,867,857,848,802,487
Barcode09,23666,21758,91.94,914,701,454,439,426,400,385,371,362,351,339,325,314,300,289,280,270,258,200,181,165,72,179
