Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,167861,151126,90.03,32082,14048,3315,2910,2623,2367,2195,2011,1860,1720,1620,1547,1478,1410,1343,1296,1240,1212,916,748,630,377,380
Barcode02,15843,13748,86.78,3488,2590,175,152,140,135,128,119,110,106,101,97,92,89,87,85,84,78,63,55,46,26,715
Barcode03,47899,34249,71.50,23896,11339,1383,996,759,594,456,360,290,240,189,154,130,117,105,91,83,75,28,18,11,1,106
Barcode04,103051,92612,89.87,16358,8404,1393,1201,1059,943,873,812,762,720,682,650,628,612,587,568,548,540,424,365,325,208,552
Barcode05,54108,35658,65.90,17377,8983,1179,944,782,654,557,483,430,382,348,323,294,272,246,228,215,201,127,93,76,24,228
Barcode06,309604,282523,91.25,11029,5574,1155,1064,989,941,895,866,840,814,802,790,774,761,751,741,734,727,680,657,644,603,987
Barcode07,53830,46852,87.04,5693,3726,546,483,443,415,401,379,355,338,329,318,304,297,289,281,274,264,221,205,195,151,499
Barcode08,350292,318264,90.86,9577,4584,1161,1094,1057,1025,998,983,973,962,949,939,936,931,921,917,913,910,887,879,874,849,880
Barcode09,44422,39379,88.65,1464,1027,492,485,477,473,468,460,454,442,430,421,409,403,393,382,374,369,297,241,210,159,318
