Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,167861,149300,88.94,31831,13978,3296,2900,2595,2355,2170,1987,1846,1707,1612,1534,1474,1398,1334,1282,1228,1199,909,746,627,370,378
Barcode02,15843,13860,87.48,3519,2608,175,152,141,136,129,119,110,105,103,98,94,90,87,86,85,79,63,56,47,26,715
Barcode03,47899,35136,73.35,24374,11549,1417,1031,776,621,485,384,313,255,210,167,142,126,112,101,91,80,29,18,10,1,106
Barcode04,103051,91726,89.01,16185,8347,1378,1197,1052,936,863,806,758,714,676,647,624,603,582,563,544,537,421,361,323,208,542
Barcode05,54108,36862,68.13,17834,9181,1229,980,816,677,575,501,435,393,359,332,309,282,254,241,221,204,131,98,79,23,230
Barcode06,309604,280668,90.65,10909,5526,1141,1051,980,933,888,860,835,812,799,788,774,761,748,741,731,725,679,658,644,602,982
Barcode07,53830,47697,88.61,5826,3800,553,493,453,418,408,384,361,341,335,320,310,303,293,282,275,269,222,209,196,153,499
Barcode08,350292,315909,90.18,9450,4532,1150,1084,1049,1021,996,977,968,952,937,932,931,927,917,912,911,906,885,879,874,847,875
Barcode09,44422,39711,89.39,1474,1032,493,484,477,473,468,461,455,443,430,422,414,404,394,385,378,372,297,242,210,160,318
