Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,163584,145974,89.23,31173,13728,3237,2859,2558,2301,2117,1953,1805,1683,1583,1510,1449,1374,1315,1268,1219,1185,893,729,618,370,372
Barcode02,14738,12976,88.04,3124,2349,166,145,134,126,113,107,100,98,96,92,88,83,83,82,79,76,62,55,45,24,697
Barcode03,39016,27902,71.51,19637,9576,1063,722,548,400,301,236,192,158,126,101,90,85,77,72,64,56,28,16,8,1,104
Barcode04,99565,89006,89.39,15731,8154,1345,1161,1026,921,843,791,743,692,661,637,614,593,574,557,539,529,417,358,318,203,527
Barcode05,43686,28428,65.07,13308,7297,878,695,571,480,411,373,332,303,287,268,242,227,216,199,185,178,113,91,66,19,222
Barcode06,298861,272416,91.15,10477,5386,1115,1021,954,911,870,848,825,800,791,783,767,751,738,733,727,718,675,656,638,601,953
Barcode07,50359,44913,89.19,4928,3303,503,448,420,392,382,368,342,322,316,304,297,291,282,271,265,259,218,204,194,152,479
Barcode08,338162,306576,90.66,9013,4366,1130,1070,1033,1006,986,974,959,947,932,930,926,921,916,912,906,904,882,878,873,845,850
Barcode09,42824,38485,89.87,1398,978,490,483,475,471,464,458,449,436,427,419,409,398,389,380,375,369,289,238,206,156,309
