Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,69596,64177,92.21,16572,8417,1816,1604,1406,1274,1183,1098,1030,973,924,875,831,796,759,728,693,666,491,392,326,101,188
Barcode02,1894,1684,88.91,397,373,49,45,42,40,37,35,32,29,29,28,27,26,24,22,20,18,10,9,9,0,100
Barcode03,2823,1464,51.86,1274,1108,10,7,7,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Barcode04,16796,15671,93.30,3867,2878,429,380,347,318,305,288,276,267,253,245,231,224,212,205,194,186,140,109,87,3,113
Barcode05,3604,1301,36.10,729,667,51,37,29,23,18,11,9,7,5,4,4,4,3,2,2,1,0,0,0,0,29
Barcode06,47421,44896,94.68,2260,1698,671,655,648,639,631,623,618,613,608,605,605,605,601,596,592,590,573,542,506,26,173
Barcode07,6458,5915,91.59,639,557,186,182,175,171,163,156,154,153,151,148,145,139,134,133,132,130,82,36,16,0,77
Barcode08,51540,48521,94.14,1902,1382,877,874,869,865,860,857,853,849,848,847,844,839,835,831,828,825,789,714,553,8,142
Barcode09,6276,5792,92.29,580,507,252,230,206,194,184,177,169,163,155,150,146,141,137,130,126,122,58,17,2,0,56
