Barcode,Raw_Reads,UMI_Reads,UMI%,UMI_families_Dist0_before_correction,UMI_families_Dist1_after_correction,family_size>5,family_size>6,family_size>7,family_size>8,family_size>9,family_size>10,family_size>11,family_size>12,family_size>13,family_size>14,family_size>15,family_size>16,family_size>17,family_size>18,family_size>19,family_size>20,family_size>30,family_size>40,family_size>50,family_size>100,Largest_family_size
Barcode01,163584,146006,89.25,31183,13733,3241,2860,2556,2302,2118,1953,1805,1683,1583,1511,1449,1374,1315,1269,1220,1185,893,729,618,370,372
Barcode02,14738,12978,88.06,3124,2349,166,145,134,126,113,107,100,98,96,92,88,83,83,82,79,76,62,55,45,25,697
Barcode03,39016,27915,71.55,19645,9595,1076,755,582,456,368,288,226,180,146,123,105,93,85,75,67,63,29,17,9,1,105
Barcode04,99565,89030,89.42,15734,8155,1346,1161,1027,921,843,791,743,692,661,637,614,593,574,557,539,529,417,358,318,203,527
Barcode05,43686,28436,65.09,13311,7299,879,695,571,480,411,373,332,303,287,268,242,227,216,199,185,178,113,91,66,19,222
Barcode06,298861,272486,91.17,10484,5388,1116,1021,954,911,870,848,826,802,791,783,767,751,738,733,727,718,675,656,638,601,954
Barcode07,50359,44921,89.20,4929,3303,503,449,420,392,382,368,342,322,316,304,297,291,282,271,265,259,218,204,194,152,479
Barcode08,338162,306664,90.69,9018,4369,1130,1070,1033,1006,986,974,960,948,932,930,926,921,916,912,906,904,882,878,873,845,850
Barcode09,42824,38498,89.90,1399,979,490,483,475,471,464,458,449,436,427,419,409,398,389,381,375,369,289,238,206,156,309
