MAX_ERROR,Reads_with_UMI,UMI_%,Gain
0,2046,53.79,2046
1,2114,55.57,68
2,2146,56.41,32
3,2163,56.86,17
4,2175,57.18,12
5,2182,57.36,7
6,2191,57.60,9
7,2199,57.81,8
8,2207,58.02,8
