MAX_ERROR,Reads_with_UMI,UMI_%,Gain
0,25947,56.89,25947
1,26926,59.03,979
2,27411,60.10,485
3,27735,60.81,324
4,27993,61.37,258
5,28165,61.75,172
6,28282,62.01,117
7,28363,62.18,81
8,28410,62.29,47
