Barcode,Minimum_Phred_Quality,Max_Primer_Error,Reads_Retained_After_Filtering,Reads_Assigned_to_UMIs,Percent_Reads_Assigned_to_UMIs
Barcode01,22,4,67902,63502,93.52
Barcode02,22,4,1793,1638,91.36
Barcode03,22,4,2340,1375,58.76
Barcode04,22,4,16755,15657,93.45
Barcode05,22,4,3601,1303,36.18
Barcode06,22,4,47371,44898,94.78
Barcode07,22,4,6439,5905,91.71
Barcode08,22,4,51440,48479,94.24
Barcode09,22,4,6217,5756,92.58
