Barcode,Minimum_Phred_Quality,Max_Primer_Error,Reads_Retained_After_Filtering,Reads_Assigned_to_UMIs,Percent_Reads_Assigned_to_UMIs
Barcode01,19,1,133094,122184,91.80
Barcode02,19,1,9407,8516,90.53
Barcode03,19,1,15902,10641,66.92
Barcode04,19,1,73631,67024,91.03
Barcode05,19,1,20927,10860,51.89
Barcode06,19,1,219357,203385,92.72
Barcode07,19,1,33583,30373,90.44
Barcode08,19,1,246814,227513,92.18
Barcode09,19,1,30841,28246,91.59
