MAX_ERROR,Reads_with_UMI,UMI_%,Gain
0,7329,32.55,7329
1,7818,34.72,489
2,8114,36.03,296
3,8322,36.96,208
4,8459,37.56,137
5,8533,37.89,74
6,8622,38.29,89
7,8672,38.51,50
8,8765,38.92,93
